name,acc_test,acc_train,disp_impact,stat_parity,avg_odds,equal_opport,false_discovery_rate,entropy_index,acc_test_clf,acc_test_priv,acc_test_unpriv,consistency,counterfactual
compas_lr_orig,0.697165991902834,0.6751063398825198,0.8051182741962352,-0.13885921494617148,-0.08985259197637838,-0.09075215325215324,0.09411978221415607,0.12923887504449982,0.697165991902834,0.7272727272727273,0.6823671497584541,0.9538461538461538,0.03439803439803435
compas_lr_usd-1,0.6761133603238867,0.6570791978934576,1.2372672282092574,0.13641408206625605,0.1820366723279344,0.1857736857736857,0.14871649761293224,0.12341159488029677,0.6761133603238867,0.6781326781326781,0.6751207729468599,0.8663967611336034,0.2825552825552826
compas_lr_usd0,0.691497975708502,0.6702450881101883,1.0122348246166772,0.0076054315184750365,0.05739143269483074,0.0557432432432432,0.12595115808000726,0.12945195318382804,0.691497975708502,0.7051597051597052,0.6847826086956522,0.9107692307692306,0.17199017199017197
compas_lr_rw,0.6923076923076923,0.6702450881101883,0.9966383278177183,-0.0020979477501217314,0.04675483923056736,0.05093555093555091,0.11922635884106716,0.13035140731078046,0.6923076923076923,0.7027027027027027,0.6871980676328503,0.9146558704453439,0.16953316953316944
compas_gb_orig,0.7182186234817813,0.7016406724731619,0.7711886106416757,-0.1590998112737243,-0.10813392442640013,-0.08638068013068012,0.0628004329417757,0.12891934104055325,0.7182186234817813,0.7297297297297297,0.7125603864734299,0.9208097165991901,0.017199017199017175
compas_gb_usd-1,0.6939271255060728,0.6872594693133481,1.0620549832178958,0.03796484231266839,0.09290220652477935,0.06870916245916248,0.14990071811409206,0.1251884222355601,0.6939271255060728,0.7199017199017199,0.6811594202898551,0.8812955465587043,0.1744471744471744
compas_gb_usd0,0.7076923076923077,0.7008304638444399,0.9271904897224591,-0.04561775213949126,0.010953282646243817,-0.003480472230472209,0.12063919122742653,0.1316116302773967,0.7076923076923077,0.7297297297297297,0.6968599033816425,0.9018623481781374,0.11547911547911549
compas_gb_rw,0.7109311740890688,0.700425359530079,0.894575860218039,-0.06760614369310025,-0.01078369691840561,-0.023732179982179913,0.11348255696713044,0.13014105605090684,0.7109311740890688,0.7346437346437347,0.6992753623188406,0.9060728744939268,0.10565110565110558
compas_rf_orig,0.7076923076923077,0.6872594693133481,0.7206158247736972,-0.21211230993839691,-0.1691227912405097,-0.12885172260172262,0.048093615379669497,0.12538479496293367,0.7076923076923077,0.7199017199017199,0.7016908212560387,0.9363562753036435,-0.02211302211302213
compas_rf_usd-1,0.7036437246963563,0.6773344136115049,0.9902415458937198,-0.00659355007181095,0.04751950686416703,0.03337540837540831,0.13194617656711521,0.1109960447224698,0.7036437246963563,0.7346437346437347,0.6884057971014492,0.9004048582995949,0.1547911547911548
compas_rf_usd0,0.7117408906882591,0.6898926473566943,0.7614492753623188,-0.1611829220524873,-0.11005090995989059,-0.09592181467181471,0.06539479300042678,0.13803477848541082,0.7117408906882591,0.7248157248157249,0.7053140096618358,0.9334412955465585,0.027027027027027084
compas_rf_rw,0.7044534412955465,0.6900951995138748,0.7406855932764211,-0.1860437512611426,-0.13748550141147228,-0.1258631571131571,0.0693337484433375,0.1340488981970496,0.7044534412955465,0.7272727272727273,0.6932367149758454,0.9183805668016192,0.0
compas_svm_orig,0.6987854251012146,0.6805752481263926,0.7333160238556076,-0.20115965768139676,-0.15625139669435786,-0.1384671072171072,0.06910800392586375,0.12853542185831254,0.6987854251012146,0.7248157248157249,0.6859903381642513,0.9574089068825911,-0.019656019656019597
compas_svm_usd-1,0.6923076923076923,0.6722706096819931,1.0131503492857887,0.008982302460563307,0.06039594753186986,0.042990792990793,0.13791479905081172,0.11008071138935188,0.6923076923076923,0.7272727272727273,0.6751207729468599,0.9164372469635624,0.14004914004914004
compas_svm_usd0,0.6963562753036437,0.6813854567551144,0.8480897462067088,-0.10600125817517125,-0.05580375164719825,-0.06234221859221856,0.10546133946536365,0.12736997318432258,0.6963562753036437,0.7272727272727273,0.6811594202898551,0.9454251012145748,0.05896805896805901
compas_svm_rw,0.6995951417004048,0.6817905610694754,0.8421590486807877,-0.11091526308917621,-0.06113597026825182,-0.06139553014553012,0.09955758527187097,0.1254930259241994,0.6995951417004048,0.7272727272727273,0.6859903381642513,0.9481781376518218,0.05651105651105648
